QueryNumber;List
00001;[195, '01016', 0.016244146177340033]
00001;[196, '01139', 0.016131069678946106]
00001;[197, '00323', 0.016015155798782023]
00001;[198, '00813', 0.015996506806471307]
00001;[199, '00696', 0.015914082977047925]
00001;[200, '00386', 0.0159000875469456]
00001;[201, '00836', 0.015849332835747777]
00001;[202, '00812', 0.015835603380168425]
00001;[203, '00459', 0.015822276094416575]
00001;[204, '01091', 0.015517734508093213]
00001;[205, '01110', 0.015499845395919018]
00001;[206, '00677', 0.01546257132090151]
00001;[207, '00310', 0.01542874197356906]
00001;[208, '00804', 0.01542001680620475]
00001;[209, '00848', 0.015414823992933657]
00001;[210, '00652', 0.015372005566197349]
00001;[211, '00538', 0.015230538204508053]
00001;[212, '00594', 0.015187750577878063]
00001;[213, '00542', 0.015180346358365491]
00001;[214, '01093', 0.01502139405104144]
00001;[215, '00429', 0.01501871043057701]
00001;[216, '00956', 0.014931070871134457]
00001;[217, '00989', 0.014679275525296596]
00001;[218, '00540', 0.01464236251726496]
00001;[219, '00506', 0.014636743224026331]
00001;[220, '00693', 0.014534082842721426]
00001;[221, '00651', 0.014434979149581282]
00001;[222, '00541', 0.014412176135981376]
00001;[223, '00552', 0.014401298564691311]
00001;[224, '01121', 0.014368409419847662]
00001;[225, '01005', 0.014344907820683789]
00001;[226, '00314', 0.014165724927029447]
00001;[227, '01044', 0.014098189658817335]
00001;[228, '00611', 0.01405507041222162]
00001;[229, '00165', 0.014019239644493862]
00001;[230, '00163', 0.014013252486721925]
00001;[231, '00871', 0.013950103317103531]
00001;[232, '00332', 0.01393775117719521]
00001;[233, '00473', 0.013717044727985033]
00001;[234, '00549', 0.0136122434280419]
00001;[235, '00987', 0.013591493497700238]
00001;[236, '00188', 0.013558091144757164]
00001;[237, '00793', 0.013450714531946292]
00001;[238, '01232', 0.013305345297384301]
00001;[239, '00912', 0.013291109580804896]
00001;[240, '01173', 0.01325416957923125]
00001;[241, '00164', 0.013217483936579745]
00001;[242, '01166', 0.013199409597347252]
00001;[243, '01062', 0.013181050622077953]
00001;[244, '01147', 0.013170941592955177]
00001;[245, '01203', 0.01313787144768932]
00001;[246, '01199', 0.013130780108568106]
00001;[247, '00962', 0.013093414000049517]
00001;[248, '00326', 0.012961806667789443]
00001;[249, '00406', 0.012800620499811748]
00001;[250, '00359', 0.012733963925223033]
00001;[251, '00411', 0.012708474800900172]
00001;[252, '00901', 0.012681200175593826]
00001;[253, '00998', 0.012663074772797643]
00001;[254, '00870', 0.012651573832885286]
00001;[255, '00760', 0.012649399925271214]
00001;[256, '00019', 0.012550111978619485]
00001;[257, '00177', 0.012548231650627005]
00001;[258, '01159', 0.012532718388025344]
00001;[259, '01081', 0.01251912364997238]
00001;[260, '00101', 0.012493801672662562]
00001;[261, '00007', 0.01247578993129135]
00001;[262, '00840', 0.012462894561953503]
00001;[263, '00218', 0.012442352737928954]
00001;[264, '00936', 0.012405656439909521]
00001;[265, '01124', 0.012291466611061392]
00001;[266, '00973', 0.012288228573350551]
00001;[267, '00570', 0.012198221920795971]
00001;[268, '01220', 0.012127698597267261]
00001;[269, '00290', 0.012025441878340919]
00001;[270, '01208', 0.012016944509031667]
00001;[271, '00460', 0.011966883005170266]
00001;[272, '00106', 0.011939613153157612]
00001;[273, '01183', 0.011916265247195556]
00001;[274, '00524', 0.01188667258628339]
00001;[275, '00577', 0.011872858521411869]
00001;[276, '00588', 0.011828170345785686]
00001;[277, '00293', 0.01177320484471726]
00001;[278, '01135', 0.011761886510242622]
00001;[279, '00907', 0.011720470516326085]
00001;[280, '00766', 0.011707804432741494]
00001;[281, '00869', 0.011706273679806239]
00001;[282, '00118', 0.011700224428082991]
00001;[283, '00806', 0.011616081750704879]
00001;[284, '00061', 0.011588054458052817]
00001;[285, '00219', 0.011504192803039015]
00001;[286, '00063', 0.011468825554015094]
00001;[287, '00878', 0.011401507247966795]
00001;[288, '00346', 0.011308809090260056]
00001;[289, '00369', 0.01128850689165659]
00001;[290, '00181', 0.011281629172429019]
00001;[291, '00638', 0.011257567971239694]
00001;[292, '00467', 0.011175982784788534]
00001;[293, '00023', 0.011140018549111905]
00001;[294, '00281', 0.01107364027670828]
00001;[295, '00915', 0.011070824288471014]
00001;[296, '00780', 0.011050055398870533]
00001;[297, '00308', 0.01103335580797483]
00001;[298, '01111', 0.011008833064966849]
00001;[299, '00981', 0.010995371000285692]
00001;[300, '00517', 0.01095936566776949]
00001;[301, '00764', 0.010935438016437574]
00001;[302, '00784', 0.010924819281972755]
00001;[303, '00049', 0.010903253762351475]
00001;[304, '00055', 0.010882520759776318]
00001;[305, '00229', 0.010876784826409986]
00001;[306, '00852', 0.010863479722930329]
00001;[307, '01003', 0.010833506242133133]
00001;[308, '01161', 0.010811053036909267]
00001;[309, '00466', 0.01078876293887498]
00001;[310, '01164', 0.010645823384300953]
00001;[311, '01007', 0.010640196490925334]
00001;[312, '00737', 0.010587215941143632]
00001;[313, '00964', 0.010488924726100603]
00001;[314, '00614', 0.010468677756683208]
00001;[315, '01082', 0.010461571699252992]
00001;[316, '00634', 0.010438859231451075]
00001;[317, '00982', 0.010433233830385902]
00001;[318, '00768', 0.010307152177069366]
00001;[319, '00150', 0.010293733107949529]
00001;[320, '00472', 0.010282287296010247]
00001;[321, '00051', 0.010259970393301069]
00001;[322, '00469', 0.010219762614200198]
00001;[323, '00295', 0.01021274986751115]
00001;[324, '00205', 0.010148999526723478]
00001;[325, '01067', 0.010104102602693153]
00001;[326, '00963', 0.010097956059846194]
00001;[327, '00152', 0.009989669449623451]
00001;[328, '00212', 0.009950254335951324]
00001;[329, '00829', 0.009941181136092174]
00001;[330, '00414', 0.009880532410729658]
00001;[331, '01025', 0.009873687216138995]
00001;[332, '00650', 0.009841762551594621]
00001;[333, '00562', 0.00981944939214792]
00001;[334, '00260', 0.009817101777704389]
00001;[335, '00612', 0.009810562626471564]
00001;[336, '00394', 0.009786804748438207]
00001;[337, '00422', 0.009774427174119828]
00001;[338, '00358', 0.009683076967310987]
00001;[339, '00012', 0.00961845839367041]
00001;[340, '00243', 0.009578832064832147]
00001;[341, '01074', 0.009568555637821712]
00001;[342, '00059', 0.009485724049045973]
00001;[343, '00238', 0.009370920484729397]
00001;[344, '00630', 0.009361153570618468]
00001;[345, '00911', 0.009312776544531257]
00001;[346, '00182', 0.009268523114350108]
00001;[347, '00725', 0.009268446319353474]
00001;[348, '00988', 0.009208885430945309]
00001;[349, '01200', 0.00920683742155475]
00001;[350, '00304', 0.009120481085329474]
00001;[351, '00694', 0.00906688972525499]
00001;[352, '00322', 0.009048207882733427]
00001;[353, '00890', 0.008980867973752329]
00001;[354, '00451', 0.008944524836508145]
00001;[355, '00639', 0.008942227796065912]
00001;[356, '00272', 0.008937677265166862]
00001;[357, '00778', 0.008823816105220235]
00001;[358, '00934', 0.008799794139559345]
00001;[359, '00211', 0.008791538694571279]
00001;[360, '00818', 0.008778105566110887]
00001;[361, '00187', 0.008776921145028876]
00001;[362, '01104', 0.00871687417123858]
00001;[363, '00251', 0.008711504185897384]
00001;[364, '00273', 0.008636289417311142]
00001;[365, '01189', 0.00863345249374259]
00001;[366, '00477', 0.008599672463288199]
00001;[367, '00317', 0.00859345065175257]
00001;[368, '00623', 0.008538372895715251]
00001;[369, '00509', 0.008515281161361384]
00001;[370, '00357', 0.008508850580947183]
00001;[371, '00487', 0.008471366955643586]
00001;[372, '00183', 0.008441669220182966]
00001;[373, '00842', 0.008418055397200733]
00001;[374, '00913', 0.008414480565342273]
00001;[375, '00798', 0.008348854078842477]
00001;[376, '01151', 0.00831996827842851]
00001;[377, '00790', 0.008288638290722697]
00001;[378, '00770', 0.008233028504813902]
00001;[379, '00903', 0.008133636986095436]
00001;[380, '00528', 0.008061638084323345]
00001;[381, '00769', 0.0080562325565361]
00001;[382, '00722', 0.008028828836607048]
00001;[383, '00018', 0.008028146325425768]
00001;[384, '01190', 0.008017856290829496]
00001;[385, '00535', 0.00797269701860291]
00001;[386, '01179', 0.007951495807774028]
00001;[387, '01118', 0.007914646077735722]
00001;[388, '01041', 0.007903284880424064]
00001;[389, '00453', 0.007885684696626061]
00001;[390, '00508', 0.007876547995369756]
00001;[391, '00228', 0.007694364170823947]
00001;[392, '00364', 0.007615799887536424]
00001;[393, '00320', 0.007614543520315874]
00001;[394, '01103', 0.007613796871841706]
00001;[395, '00242', 0.007606722301150641]
00001;[396, '00351', 0.007571576723667779]
00001;[397, '00833', 0.007479951828064756]
00001;[398, '01165', 0.007471609981604634]
00001;[399, '00185', 0.007471338221613789]
00001;[400, '01000', 0.007467717377039377]
00001;[401, '01132', 0.007459355867235668]
00001;[402, '00800', 0.0074435878230894046]
00001;[403, '00667', 0.007435368484862443]
00001;[404, '00144', 0.007386269946691886]
00001;[405, '00080', 0.007382952464860647]
00001;[406, '00860', 0.007335302142737612]
00001;[407, '01207', 0.007312466866966537]
00001;[408, '00305', 0.007286281375363822]
00001;[409, '00030', 0.0072714864089336965]
00001;[410, '00479', 0.007225541542006241]
00001;[411, '00284', 0.007215063359049881]
00001;[412, '00715', 0.007166964021166177]
00001;[413, '00172', 0.00715698295431021]
00001;[414, '00088', 0.007155178311316988]
00001;[415, '00224', 0.007143957011402894]
00001;[416, '01075', 0.007107853687644053]
00001;[417, '00917', 0.00703587004409458]
00001;[418, '01043', 0.0070131340662261685]
00001;[419, '01119', 0.0070102226759230085]
00001;[420, '00887', 0.007005098326625827]
00001;[421, '00227', 0.006965243193678863]
00001;[422, '00879', 0.006961823586133426]
00001;[423, '00001', 0.006960299577969632]
00001;[424, '00993', 0.006940697348599981]
00001;[425, '00589', 0.0069125893958309845]
00001;[426, '00489', 0.006904760610804644]
00001;[427, '00521', 0.006895152468095769]
00001;[428, '01169', 0.006847779215893063]
00001;[429, '00244', 0.006846987192741003]
00001;[430, '01125', 0.006770119200429153]
00001;[431, '00026', 0.006752996194311071]
00001;[432, '00811', 0.006745523032243422]
00001;[433, '00661', 0.006726614541219681]
00001;[434, '00587', 0.006716881233593487]
00001;[435, '00965', 0.006697153938296107]
00001;[436, '00449', 0.006691441050234523]
00001;[437, '00024', 0.00667988391594792]
00001;[438, '01205', 0.006664894967148369]
00001;[439, '00905', 0.006647519431371539]
00001;[440, '00383', 0.006623731474877269]
00001;[441, '01181', 0.006557400517791216]
00001;[442, '01129', 0.006538293323107505]
00001;[443, '00834', 0.006517232358139322]
00001;[444, '01060', 0.006483286911490151]
00001;[445, '00089', 0.0064333275684730525]
00001;[446, '00873', 0.006355800101740789]
00001;[447, '00751', 0.006300594365149967]
00001;[448, '00631', 0.006286401058573681]
00001;[449, '00455', 0.0062628754249219425]
00001;[450, '00578', 0.006262471574256771]
00001;[451, '00389', 0.006239626938840641]
00001;[452, '00684', 0.0062372884410242194]
00001;[453, '00926', 0.006202771389754474]
00001;[454, '00575', 0.006194209457942793]
00001;[455, '00782', 0.006187364806274771]
00001;[456, '00082', 0.006171747780955496]
00001;[457, '00446', 0.006139538916083041]
00001;[458, '01223', 0.006115011716432308]
00001;[459, '01037', 0.00610432595717874]
00001;[460, '00859', 0.006038433945793589]
00001;[461, '00006', 0.006016658969931046]
00001;[462, '00647', 0.006003919174611675]
00001;[463, '01239', 0.005999125585212732]
00001;[464, '00090', 0.005980252568688503]
00001;[465, '00372', 0.0059580232348613645]
00001;[466, '00899', 0.005935263605348749]
00001;[467, '01057', 0.005911623603795073]
00001;[468, '00554', 0.0058995936306986164]
00001;[469, '00579', 0.0058955366604180786]
00001;[470, '01108', 0.005888714821190665]
00001;[471, '01195', 0.005875808672511317]
00001;[472, '00315', 0.005845390943807347]
00001;[473, '01214', 0.0058288026651168445]
00001;[474, '00680', 0.005810043646827927]
00001;[475, '01018', 0.005786319285974475]
00001;[476, '01019', 0.0057840377703089986]
00001;[477, '00944', 0.005751740985083511]
00001;[478, '00803', 0.005747985564405483]
00001;[479, '00367', 0.005697980243967199]
00001;[480, '00271', 0.005695493122351697]
00001;[481, '00010', 0.0056337979287651605]
00001;[482, '00262', 0.0055461326405189205]
00001;[483, '00657', 0.0055382205420944275]
00001;[484, '01191', 0.00552843335042458]
00001;[485, '00672', 0.005526426008778269]
00001;[486, '00755', 0.005525208497529745]
00001;[487, '00906', 0.005502743682752718]
00001;[488, '00519', 0.005490252681630773]
00001;[489, '01077', 0.005489147684355269]
00001;[490, '00826', 0.005483957216509268]
00001;[491, '01106', 0.005483375555953835]
00001;[492, '00268', 0.0054543045749410254]
00001;[493, '00100', 0.005436841321552643]
00001;[494, '00468', 0.005422606734939908]
00001;[495, '00923', 0.0054106860164821165]
00001;[496, '00223', 0.005398740300542208]
00001;[497, '01048', 0.005396722930187194]
00001;[498, '00601', 0.005376941023578836]
00001;[499, '00688', 0.005375609994438681]
00001;[500, '00135', 0.005373728071373191]
00001;[501, '00141', 0.005373376412790964]
00001;[502, '00692', 0.0053726156759275724]
00001;[503, '00471', 0.0053591766917151454]
00001;[504, '00470', 0.005304532178358617]
00001;[505, '00282', 0.0052778422438238826]
00001;[506, '00003', 0.005268264384059279]
00001;[507, '00858', 0.005230734625142933]
00001;[508, '01017', 0.005229615920199381]
00001;[509, '00210', 0.0052120190268975936]
00001;[510, '00402', 0.0051821463806030225]
00001;[511, '00700', 0.005163728688171426]
00001;[512, '00113', 0.0051598613747751414]
00001;[513, '00258', 0.005125413868086203]
00001;[514, '00689', 0.005107269159087324]
00001;[515, '00648', 0.005088078622038291]
00001;[516, '00421', 0.005080042570816925]
00001;[517, '00031', 0.005067692580814074]
00001;[518, '00480', 0.0050535261743375045]
00001;[519, '00231', 0.005042410179623771]
00001;[520, '01136', 0.00500460411620055]
00001;[521, '00339', 0.004970764657468591]
00001;[522, '00475', 0.0049695964898675]
00001;[523, '00807', 0.004963584568225971]
00001;[524, '00184', 0.004913285252339322]
00001;[525, '01105', 0.0048984160961407135]
00001;[526, '00206', 0.004890367568842445]
00001;[527, '01015', 0.004851039124356526]
00001;[528, '00719', 0.0048007455032150585]
00001;[529, '00602', 0.004777973969192014]
00001;[530, '00217', 0.004757033149889633]
00001;[531, '00695', 0.00474470115182525]
00001;[532, '00785', 0.004738943105274636]
00001;[533, '00762', 0.00473433432706015]
00001;[534, '00427', 0.004733687220785868]
00001;[535, '00167', 0.004689707599551754]
00001;[536, '00607', 0.004664320884347763]
00001;[537, '00042', 0.004659755669242514]
00001;[538, '00325', 0.004644671723058267]
00001;[539, '00193', 0.004622788665652453]
00001;[540, '00772', 0.004610488667434226]
00001;[541, '00170', 0.004596206183929827]
00001;[542, '00064', 0.00458617566476135]
00001;[543, '00808', 0.004560063503644839]
00001;[544, '00445', 0.00454973604567571]
00001;[545, '00968', 0.004548265085883763]
00001;[546, '00883', 0.004540217807744873]
00001;[547, '00111', 0.004519411292922332]
00001;[548, '00134', 0.0044628779769246086]
00001;[549, '00366', 0.0044317680388560945]
00001;[550, '00452', 0.004404364392303123]
00001;[551, '00074', 0.004374117288973815]
00001;[552, '00065', 0.004367305023912126]
00001;[553, '00604', 0.004359548912226695]
00001;[554, '01040', 0.004347612789630613]
00001;[555, '01051', 0.004327882513513002]
00001;[556, '00173', 0.00432322273860313]
00001;[557, '00004', 0.004306458345508424]
00001;[558, '00397', 0.004305075988307528]
00001;[559, '00462', 0.004286385030859472]
00001;[560, '00687', 0.004274002209167485]
00001;[561, '00197', 0.004272615504734608]
00001;[562, '00250', 0.0042476547228104235]
00001;[563, '00156', 0.004238140667434757]
00001;[564, '00313', 0.004203683494095781]
00001;[565, '00341', 0.0041978911248313315]
00001;[566, '01126', 0.004181454988777994]
00001;[567, '00130', 0.004158124350515197]
00001;[568, '00390', 0.00415148941339654]
00001;[569, '00433', 0.004137632787909064]
00001;[570, '00743', 0.004134536778829343]
00001;[571, '01058', 0.0041317261588085024]
00001;[572, '00292', 0.004130123814687987]
00001;[573, '00888', 0.004104077733333813]
00001;[574, '01170', 0.004101072709787627]
00001;[575, '00424', 0.004099813807176304]
00001;[576, '00675', 0.0040838389011424074]
00001;[577, '00922', 0.0040545926438648764]
00001;[578, '01218', 0.004054159527534628]
00001;[579, '00640', 0.004043905347531764]
00001;[580, '00951', 0.004010249906143666]
00001;[581, '00794', 0.003992130145497648]
00001;[582, '00703', 0.003970745743828882]
00001;[583, '00885', 0.003960137245487724]
00001;[584, '00149', 0.003938490674139516]
00001;[585, '00757', 0.003938237699811591]
00001;[586, '00361', 0.003924946313984152]
00001;[587, '00222', 0.003923361923550396]
00001;[588, '01047', 0.003896806482478934]
00001;[589, '00447', 0.003891761015154487]
00001;[590, '00474', 0.003857678569410624]
00001;[591, '00622', 0.0038539430554400157]
00001;[592, '01099', 0.00380574445513432]
00001;[593, '01197', 0.0038031157026270296]
00001;[594, '00649', 0.0037963752935002352]
00001;[595, '00496', 0.0037327108351778555]
00001;[596, '00559', 0.0037300967760519003]
00001;[597, '00728', 0.0037296181365326017]
00001;[598, '00771', 0.0037256593263406195]
00001;[599, '00929', 0.0036997648868094092]
00001;[600, '00705', 0.003690344718085457]
00001;[601, '00556', 0.0036832583627917975]
00001;[602, '00928', 0.0036668820042660066]
00001;[603, '00727', 0.0036645782629860274]
00001;[604, '00254', 0.003658850111203873]
00001;[605, '00597', 0.0036454226141992897]
00001;[606, '00391', 0.00362581015141217]
00001;[607, '00986', 0.0035930392709636783]
00001;[608, '00618', 0.0035808630043531542]
00001;[609, '00736', 0.0035748959650273313]
00001;[610, '00942', 0.0035741916108646896]
00001;[611, '00274', 0.003562631843359065]
00001;[612, '01116', 0.0035565278136200397]
00001;[613, '00396', 0.0035288928701476523]
00001;[614, '00269', 0.0035089852032879594]
00001;[615, '01174', 0.0034891228659640924]
00001;[616, '00454', 0.0034698210023758405]
00001;[617, '00160', 0.003464762149389015]
00001;[618, '01053', 0.003463309140534923]
00001;[619, '00759', 0.0034404481838781675]
00001;[620, '00897', 0.003435062569983019]
00001;[621, '00050', 0.0034345196217718124]
00001;[622, '00583', 0.0034132259775319458]
00001;[623, '01086', 0.0033982545595919126]
00001;[624, '01226', 0.0033886854261601347]
00001;[625, '00872', 0.0033815797386617195]
00001;[626, '01046', 0.0033332758774974464]
00001;[627, '00169', 0.0033304881352734443]
00001;[628, '00843', 0.003314127850556137]
00001;[629, '00415', 0.0032898886609787448]
00001;[630, '00068', 0.0032729013865527797]
00001;[631, '00252', 0.003268357558400487]
00001;[632, '00952', 0.003212810068941779]
00001;[633, '00109', 0.003212031699158555]
00001;[634, '00830', 0.0031872671528076738]
00001;[635, '01052', 0.0031746288544792015]
00001;[636, '00119', 0.003171472719675368]
00001;[637, '00643', 0.0031671766496088436]
00001;[638, '00221', 0.0031659760299648718]
00001;[639, '00659', 0.0031522272339012253]
00001;[640, '00886', 0.003150427794827419]
00001;[641, '00190', 0.0031260187315904375]
00001;[642, '01212', 0.0031198654019056735]
00001;[643, '00718', 0.0031127814218801712]
00001;[644, '00015', 0.003088983913911529]
00001;[645, '00327', 0.0030539093657659636]
00001;[646, '00884', 0.0030372814597519927]
00001;[647, '01085', 0.0030341927541763934]
00001;[648, '00731', 0.003033058214806612]
00001;[649, '01113', 0.002974166606469844]
00001;[650, '00717', 0.0029685011655530454]
00001;[651, '00110', 0.0029644140519472246]
00001;[652, '00069', 0.0029632632553779786]
00001;[653, '00788', 0.0029548701327078127]
00001;[654, '00669', 0.0029458427957016857]
00001;[655, '00738', 0.002935092699232467]
00001;[656, '00174', 0.0029273141337915302]
00001;[657, '00832', 0.0029024645165555505]
00001;[658, '00569', 0.0028829140827148006]
00001;[659, '01172', 0.0028731752136288893]
00001;[660, '00898', 0.0028412054068247903]
00001;[661, '01033', 0.0028397793481625753]
